                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4412,                 3.0306,                   1.73,                0.00488,                0.81911,                 0.1453,                0.05665,                 1.8369,                 3.0482,                 2.2518,             0.00054609,             0.00054609,             0.00054609
                      2,                 1.5222,                  2.741,                  1.825,                0.19296,                0.14034,                0.12384,                0.03971,                 1.7588,                 3.0338,                 2.3087,              0.0010654,              0.0010654,              0.0010654
                      3,                 1.5417,                 2.5265,                  1.837,                0.11116,                0.34079,                0.10403,                0.04519,                 2.0267,                 3.7139,                 2.6656,               0.001548,               0.001548,               0.001548
                      4,                 1.5875,                 2.5325,                 1.8757,                0.15069,                 0.3584,                0.14086,                0.05372,                  1.968,                 3.1538,                 2.5321,               0.001502,               0.001502,               0.001502
                      5,                 1.5539,                 2.4445,                 1.8395,                 0.1666,                0.31007,                0.14325,                0.06537,                 1.8956,                 5.2074,                 2.3711,               0.001447,               0.001447,               0.001447
                      6,                 1.5534,                 2.3741,                 1.8402,                0.39849,                0.31238,                0.27299,                0.12427,                 2.0982,                 2.4919,                 2.4192,              0.0013919,              0.0013919,              0.0013919
                      7,                 1.5016,                 2.2313,                 1.7666,                0.21232,                0.39205,                0.24604,                0.09431,                 2.0631,                  2.994,                  2.426,              0.0013369,              0.0013369,              0.0013369
                      8,                 1.4897,                 2.1941,                 1.7363,                0.22923,                0.49842,                0.23974,                 0.1027,                 1.9113,                 2.5516,                 2.2044,              0.0012819,              0.0012819,              0.0012819
                      9,                 1.4766,                 2.1325,                 1.7312,                0.34801,                0.25248,                0.24038,                0.09072,                 1.9611,                 2.5695,                 2.2755,              0.0012269,              0.0012269,              0.0012269
                     10,                  1.463,                 2.0745,                 1.7311,                0.28643,                 0.3706,                0.24751,                0.11306,                 1.8556,                 2.4804,                 2.2426,              0.0011719,              0.0011719,              0.0011719
                     11,                 1.3992,                  1.996,                 1.6977,                0.34184,                0.45224,                0.34273,                0.15555,                 1.8428,                 2.2495,                 2.1513,              0.0011169,              0.0011169,              0.0011169
                     12,                 1.3546,                  1.982,                  1.658,                0.37068,                0.45483,                0.37342,                0.19624,                 1.8027,                 2.1077,                 2.1078,              0.0010619,              0.0010619,              0.0010619
                     13,                 1.3685,                 1.9075,                 1.6385,                0.51365,                0.37012,                0.37781,                0.17954,                  1.795,                 2.1023,                 2.1418,              0.0010069,              0.0010069,              0.0010069
                     14,                 1.3262,                 1.8158,                 1.6058,                0.37203,                0.42615,                 0.3234,                0.14815,                 1.7986,                 2.1599,                 2.0835,             0.00095186,             0.00095186,             0.00095186
                     15,                 1.3064,                 1.7312,                 1.5755,                0.36319,                0.47493,                0.36849,                0.17902,                 1.8693,                 2.1069,                   2.13,             0.00089685,             0.00089685,             0.00089685
                     16,                 1.2986,                 1.6807,                 1.5752,                0.51541,                0.41057,                0.41478,                0.19206,                 1.8031,                 2.0595,                 2.0806,             0.00084184,             0.00084184,             0.00084184
                     17,                 1.2482,                 1.6811,                 1.5498,                0.41638,                 0.4921,                0.37146,                0.17713,                 1.7642,                 2.0367,                 2.1128,             0.00078682,             0.00078682,             0.00078682
                     18,                  1.279,                 1.6239,                 1.5483,                 0.3871,                 0.4589,                  0.389,                0.17404,                 1.8017,                   2.09,                 2.1144,             0.00073181,             0.00073181,             0.00073181
                     19,                 1.2335,                  1.607,                 1.5297,                0.42751,                0.47428,                0.35621,                0.17958,                 1.8993,                 2.1591,                 2.1586,              0.0006768,              0.0006768,              0.0006768
                     20,                 1.2364,                 1.5673,                 1.5284,                0.42794,                0.43202,                0.41378,                0.22337,                 1.7746,                 1.9961,                 2.0624,             0.00062179,             0.00062179,             0.00062179
                     21,                  1.205,                 1.5389,                 1.5753,                0.66371,                0.39883,                0.48243,                0.25217,                 1.7873,                 1.9399,                 2.0766,             0.00056678,             0.00056678,             0.00056678
                     22,                 1.1535,                   1.42,                  1.548,                0.39576,                0.55239,                0.45658,                0.25302,                 1.7863,                 1.9717,                  2.071,             0.00051177,             0.00051177,             0.00051177
                     23,                 1.0793,                 1.2714,                 1.4483,                 0.5141,                0.47292,                0.46594,                0.27396,                 1.6789,                 1.9042,                 1.9531,             0.00045676,             0.00045676,             0.00045676
                     24,                 1.0586,                 1.2023,                 1.4573,                0.44004,                 0.5353,                0.51589,                0.29845,                 1.7109,                 1.8421,                 1.9842,             0.00040175,             0.00040175,             0.00040175
                     25,                 1.0182,                 1.1684,                 1.4289,                0.71886,                0.39589,                0.50192,                 0.2793,                 1.7413,                 1.8946,                 1.9884,             0.00034674,             0.00034674,             0.00034674
                     26,                0.99872,                 1.1041,                 1.4085,                0.53133,                0.48464,                    0.5,                 0.2865,                 1.7882,                  1.896,                 2.1014,             0.00029172,             0.00029172,             0.00029172
                     27,                0.96613,                 1.0726,                 1.3685,                0.57202,                0.48992,                0.49582,                0.28534,                 1.7074,                 1.9226,                  2.005,             0.00023671,             0.00023671,             0.00023671
                     28,                0.93598,                 1.0068,                 1.3304,                0.59052,                0.48372,                0.49286,                0.28977,                 1.7419,                 1.9007,                 2.0175,              0.0001817,              0.0001817,              0.0001817
                     29,                0.92536,                0.97475,                 1.3197,                0.48391,                0.55194,                0.50911,                0.29138,                 1.7517,                 1.9399,                 2.0108,             0.00012669,             0.00012669,             0.00012669
                     30,                 0.9027,                0.93868,                 1.3195,                0.44339,                0.58371,                0.51023,                0.30844,                 1.7431,                 1.8968,                 1.9968,             7.1681e-05,             7.1681e-05,             7.1681e-05
